[T=1385000] PC=000000d4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1395000] PC=000000d8 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1405000] PC=000000dc INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1415000] PC=000000e0 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1425000] PC=000000e4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1435000] PC=000000e4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1445000] PC=000000e4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1455000] PC=000000e4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1465000] PC=000000e4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1475000] PC=000000e4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1485000] PC=000000e8 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1495000] PC=000000ec INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1505000] PC=000000f0 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1515000] PC=000000f4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1525000] PC=000000f4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1535000] PC=000000f4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1545000] PC=000000f4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1555000] PC=000000f4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1565000] PC=000000f4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1575000] PC=000000f8 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
